名前,生年,出生,鯖江うまれ,関係園_原表記,関係園_推定正式名,slug,pref,国内外,方向,関係,要確認,層,層の理由,原文
,1984,,0,中国,中国,china,,OV,転入,来園,0,除外,名前が 空,1984来園 / 中国から
慶慶,1984,,0,中国,中国,china,,OV,転入,来園,0,確定,名前+生年が 教師と 一致,慶慶 / 1984来園 / 中国から
胖胖,1984,,0,中国,中国,china,,OV,転入,来園,0,確定,名前+生年が 教師と 一致,胖胖 / 1984来園 / 中国から
誕誕,1986,鯖江市西山動物園,1,,,,,,,,0,確定,名前+生年が 教師と 一致,誕誕 / 鯖江うまれ / 1986うまれ
麗麗,1986,鯖江市西山動物園,1,大阪,天王寺動物園,tennoji,大阪府,JP,転出,貸出,1,確定,名前+生年が 教師と 一致,麗麗 / 大阪に貸出 / 鯖江うまれ / 1986うまれ
陽陽,1987,鯖江市西山動物園,1,長野,長野市茶臼山動物園,nagano,長野県,JP,転出,交換,0,確定,名前+生年が 教師と 一致,陽陽 / 鯖江うまれ / 1987うまれ / 長野へ交換
蘭蘭,1987,鯖江市西山動物園,1,,,,,,,,0,確定,名前+生年が 教師と 一致,蘭蘭 / 鯖江うまれ / 1987うまれク
友友,1987,,0,長野,長野市茶臼山動物園,nagano,長野県,JP,転入,交換,0,確定,名前+生年が 教師と 一致,友友 / 1987うまれ / 長野から交換
松松,1989,鯖江市西山動物園,1,仙台,仙台市八木山動物公園フジサキの杜,sendai,宮城県,JP,転出,交換,0,確定,名前+生年が 教師と 一致,松松 / 1989うまれ / 仙台へ交換 / 鯖江うまれ
楠誕,1991,鯖江市西山動物園,1,広島,広島市安佐動物公園,hiroshima,広島県,JP,転出,交換,0,除外,名前の 取り違え (正しくは 楠(くす) 1991),楠誕 / 1991うまれ / 広島へ交換 / 鯖江うまれ
遊遊,1986,鯖江市西山動物園,1,神戸,神戸市立王子動物園,kobe,兵庫県,JP,転出,寄贈,0,確定,名前+生年が 教師と 一致,遊遊 / 1986うまれ / 神戸へ寄贈 / 鯖江うまれ
鈴鈴,1986,鯖江市西山動物園,1,,,,,,,,0,確定,名前+生年が 教師と 一致,鈴鈴 / 1986うまれ / 鯖江うまれ
愛愛,1988,鯖江市西山動物園,1,,,,,,,,0,確定,名前+生年が 教師と 一致,愛愛 / 1988うまれ / 鯖江うまれ
天天,1998,鯖江市西山動物園,1,徳山,周南市徳山動物園,tokuyama,山口県,JP,転出,交換,0,除外,生年が 食い違う (教師 1989),天天 / 1998うまれ / 徳山へ交換 / 鯖江うまれ
花天,1990,鯖江市西山動物園,1,秋田,秋田市大森山動物園,akita,秋田県,JP,転出,貸出,0,除外,名前の 取り違え (正しくは 花(ハナ) 1990),花天 / 1990うまれま / 秋田へ貸出交 / 鯖江うまれま
,1991,鯖江市西山動物園,1,山口,秋吉台自然動物公園サファリランド,akiyoshidai,山口県,JP,転出,貸出,1,除外,名前が 空,1991うまれ / 山口へ貸出 / 鯖江うまれ
,1991,鯖江市西山動物園,1,旭川,旭川市旭山動物園,asahikawa,北海道,JP,転出,貸出,0,除外,名前が 空,1991うまれ / 旭川へ貸出 / 鯖江うまれ
春春,1992,鯖江市西山動物園,1,岡山,池田動物園,okayama,岡山県,JP,転出,貸出,1,確定,名前+生年が 教師と 一致,春春 / 1992うまれ / 岡山へ貸出 / 鯖江うまれ
サバタロウ,1992,鯖江市西山動物園,1,釧路,釧路市動物園,kushiro,北海道,JP,転出,貸出,0,確定,名前+生年が 教師と 一致,サバタロウ / 1992うまれ / 鯖江うまれ / 釧路へ貸出
吉吉,1989,鯖江市西山動物園,1,甲府,甲府市遊亀公園附属動物園,kofu,山梨県,JP,転出,貸出,0,確定,名前+生年が 教師と 一致,吉吉 / 1989うまれ / 鯖江うまれ / 甲府へ貸出ま
ヒサシ,1993,鯖江市西山動物園,1,,,,,,,,0,確定,名前+生年が 教師と 一致,ヒサシ / 1993うまれ / 人工保育 / 鯖江うまれ
,1991,鯖江市西山動物園,1,京都,京都市動物園,kyoto,京都府,JP,転出,貸出,0,除外,名前が 空,1991うまれ / 鯖江うまれ / 京都へ貸出
,1992,鯖江市西山動物園,1,三島,三島市立公園楽寿園,mishima,静岡県,JP,転出,寄贈,1,除外,名前が 空,鯖江うまれ / 1992うまれ / 三島へ寄贈
コウヘイ,1992,鯖江市西山動物園,1,三島,三島市立公園楽寿園,mishima,静岡県,JP,転出,貸出,1,確定,名前+生年が 教師と 一致,コウヘイ / 鯖江うまれ / 1992うまれ / 三島へ貸出
ツヨシ,1993,鯖江市西山動物園,1,長崎,長崎バイオパーク,nagasaki,長崎県,JP,転出,,1,確定,名前+生年が 教師と 一致,ツヨシ / 鯖江うまれ / 1993うまれ / 長崎へ
タカシ,1993,鯖江市西山動物園,1,,,,,,,,0,確定,名前+生年が 教師と 一致,タカシ / 鯖江うまれ / 1993うまれ
トミー,1995,鯖江市西山動物園,1,富山,富山市ファミリーパーク,toyama,富山県,JP,転出,貸出,0,確定,名前+生年が 教師と 一致,トミー / 1995うまれ / 鯖江うまれ / 富山へ貸出
平平,1989,,0,徳山,周南市徳山動物園,tokuyama,山口県,JP,転入,交換,0,確定,名前+生年が 教師と 一致,平平 / 1989うまれ / 徳山から / 交換
らら,1996,,0,富山,富山市ファミリーパーク,toyama,富山県,JP,所在(明示なし),,0,参考,家系図にしか ない,らら / 1996うまれ / 富山
陽陽,1992,,0,旭川,旭川市旭山動物園,asahikawa,北海道,JP,転出,貸出,0,除外,鯖江うまれの 印が 食い違う (教師 区分「西山生まれ」),陽陽 / 旭川へ / 1992うまれ / 貸出
サイサイ,1992,,0,姫路,姫路市立動物園,himeji,兵庫県,JP,転出,貸出,0,除外,鯖江うまれの 印が 食い違う (教師 区分「西山生まれ」),サイサイ / 姫路へ / 1992うまれ / 貸出
チャチャ,1997,,0,長崎,長崎バイオパーク,nagasaki,長崎県,JP,転入,交換,1,確定,名前+生年が 教師と 一致,チャチャ / 1997うまれ / 長崎から / 交換
純純,2001,ひらかたパーク,0,,,,,,,,0,確定,名前+生年が 教師と 一致,純純 / 2001うまれ / 交換 / ひらかたうまれ
美美,1988,,0,仙台,仙台市八木山動物公園フジサキの杜,sendai,宮城県,JP,転入,交換,0,除外,生年が 食い違う (教師 1989),美美 / 1988うまれ / 仙台から交換 / 江戸川へ
好好,1988,近鉄あやめ池遊園地（閉園）,0,広島,広島市安佐動物公園,hiroshima,広島県,JP,転入,交換,0,確定,名前+生年が 教師と 一致,好好 / 1988うまれ / あやめ池うまれ / 広島から交換
