個体名,性別,生年月日,死亡年月日,年齢,他園移動日,他園移動園館,来園日,来園元園館,父親,母親,ペア1,ペア2,ペア3,性格,特徴,区分,移動先都道府県,来園元都道府県,移動個体の死亡記録,黄色(現飼育),胖胖系世代(創始=1),注記
胖胖（パンパン）,メス,1984-11-16,1998-09-28,13,,,1984-11-16,,,,慶慶（ケイケイ）,,,,,創始(来園元空欄),,,,,1,生年月日が基準日+0/1/2日=実誕生日でない可能性
秀秀（シュウシュウ）,メス,1984-11-17,1988-02-27,3,,,1984-11-16,,,,慶慶（ケイケイ）,,,,,創始(来園元空欄),,,,,1,生年月日が基準日+0/1/2日=実誕生日でない可能性
慶慶（ケイケイ）,オス,1984-11-18,1990-11-24,6,,,1985-03-22,,,,胖胖（パンパン）,秀秀（シュウシュウ）,,,,創始(来園元空欄),,,,,1,生年月日が基準日+0/1/2日=実誕生日でない可能性
遊遊（ユウユウ）,メス,1986-07-05,2005-12-12,19,1987-12-16,神戸市立王子動物園,,,慶慶（ケイケイ）,胖胖（パンパン）,,,,,鯖江で最初の赤ちゃんとして誕生,西山生まれ,兵庫県,,○,,2,
鈴鈴（リンリン）,メス,1986-07-05,2006-03-17,19,,,,,慶慶（ケイケイ）,胖胖（パンパン）,,,,,鯖江で最初の赤ちゃんとして誕生,西山生まれ,,,,,2,
誕誕（タンタン）,オス,1986-07-05,1987-01-20,0,,,,,慶慶（ケイケイ）,秀秀（シュウシュウ）,,,,,鯖江で最初の赤ちゃんとして誕生,西山生まれ,,,,,2,
麗麗（レイレイ）,メス,1986-07-05,1995-10-24,9,1991-12-12,天王寺動物園,,,慶慶（ケイケイ）,秀秀（シュウシュウ）,,,,,鯖江で最初の赤ちゃんとして誕生,西山生まれ,大阪府,,○,,2,
陽陽（ヨウヨウ）,オス,1987-07-26,2007-11-26,20,1988-11-24,長野市茶臼山動物園,,,慶慶（ケイケイ）,秀秀（シュウシュウ）,,,,,,西山生まれ,長野県,,○,,2,
蘭蘭（ランラン）,メス,1987-07-26,2009-06-02,21,,,,,慶慶（ケイケイ）,秀秀（シュウシュウ）,友友（ユウユウ）,,,おとなしい。優しい,若い頃は多くの取材のモデルを務める。2007年に動物愛護協会により「功労動物」として表彰される。子育て上手,西山生まれ,,,,,2,
愛愛（アイアイ）,メス,1988-06-25,2006-01-07,17,,,,,慶慶（ケイケイ）,胖胖（パンパン）,平平（ピンピン）,,,穏やか,,西山生まれ,,,,,2,
友友（ユウユウ）,オス,1987-05-31,2007-12-19,20,,,1988-11-25,長野市茶臼山動物園,,,蘭蘭（ランラン）,麗麗（レイレイ）,鈴鈴（リンリン）,穏やか,愛愛、蘭蘭と相性が良い,他園から来園,,長野県,,,,
天天（テンテン）,メス,1989-06-26,2004-01-30,14,1990-11-29,周南市徳山動物園,,,友友（ユウユウ）,蘭蘭（ランラン）,,,,,,西山生まれ,山口県,,○,,3,
松松（スイスイ）,オス,1989-06-29,1991-11-08,2,1990-11-28,仙台市八木山動物公園,,,,,,,,,,西山生まれ,宮城県,,○,,,父母とも空欄
吉吉（チィチィ）,オス,1989-06-30,1995-12-15,6,1990-11-02,甲府市遊亀公園附属動物園,,,友友（ユウユウ）,鈴鈴（リンリン）,,,,,,西山生まれ,山梨県,,○,,3,
花（ハナ）,メス,1990-06-29,2005-11-10,15,1997-04-07,秋田市大森山動物園,,,友友（ユウユウ）,蘭蘭（ランラン）,,,,,,西山生まれ,秋田県,,○,,3,
美美（メイメイ）,メス,1989-06-19,2007-11-10,18,2001-11-09,江戸川区自然動物園,1990-11-28,仙台市八木山動物公園,,,平平（ピンピン）,,,慎重,,他園から来園,東京都,宮城県,○,,,
平平（ピンピン）,オス,1989-06-28,2008-01-05,18,,,1990-11-29,周南市徳山動物園,,,愛愛（アイアイ）,美美（メイメイ）,,穏やか,,他園から来園,,山口県,,,,
茜（あかね）,メス,1991-06-18,2013-07-30,22,1993-04-22,旭川市旭山動物園,,,友友（ユウユウ）,蘭蘭（ランラン）,,,,,,西山生まれ,北海道,,○,,3,
香（かおり）,メス,1991-06-18,2003-12-21,12,1993-03-19,秋吉台自然動物公園,,,友友（ユウユウ）,蘭蘭（ランラン）,,,,,,西山生まれ,山口県,,○,,3,
楠（くす）,オス,1991-06-24,2015-07-15,24,1993-02-16,広島市安佐動物公園,,,友友（ユウユウ）,麗麗（レイレイ）,,,,,,西山生まれ,広島県,,○,,3,
梢（こずえ）,メス,1991-07-04,2009-04-16,17,1993-03-18,京都市動物園,,,平平（ピンピン）,愛愛（アイアイ）,,,,,,西山生まれ,京都府,,○,,3,
陽陽（ヤンヤン）,オス,1992-06-19,2010-07-04,18,1993-04-22,旭川市旭山動物園,,,平平（ピンピン）,美美（メイメイ）,,,,,,西山生まれ,北海道,,○,,,
サイサイ,メス,1992-06-19,2006-07-01,14,1994-04-21,姫路市立動物園,,,平平（ピンピン）,美美（メイメイ）,,,,,,西山生まれ,兵庫県,,○,,,
サバタロウ,オス,1992-06-22,2000-02-18,7,1995-02-15,釧路市動物園,,,友友（ユウユウ）,蘭蘭（ランラン）,,,,,,西山生まれ,北海道,,○,,3,
春春（チュンチュン）,オス,1992-06-22,2010-09-18,18,1994-02-22,池田動物園,,,友友（ユウユウ）,蘭蘭（ランラン）,,,,,,西山生まれ,岡山県,,○,,3,
涼（リョウ）,オス,1992-07-13,2013-02-13,20,1996-03-26,三島市立公園楽寿園,,,平平（ピンピン）,愛愛（アイアイ）,,,,,,西山生まれ,静岡県,,○,,3,
コウヘイ,オス,1992-07-13,2010-11-26,18,1996-03-26,三島市立公園楽寿園,,,平平（ピンピン）,愛愛（アイアイ）,,,,,,西山生まれ,静岡県,,○,,3,
好好（コウコウ）,オス,1988-06-22,2008-01-05,19,,,1993-02-18,広島市安佐動物公園,,,マリモ,鈴鈴（リンリン）,花（ハナ）,慎重,体色は黒色の範囲が多い,他園から来園,,広島県,,,,
ヒサシ,オス,1993-06-30,2011-08-29,18,,,,,友友（ユウユウ）,鈴鈴（リンリン）,ララ,,,気が強い,人工哺育で成育。国内における人工保育としては2例目。タカシと相性が良い,西山生まれ,,,,,3,
タカシ,オス,1993-07-19,2012-09-07,19,,,,,平平（ピンピン）,愛愛（アイアイ）,チャチャ,,,穏やか,大柄な体格。ヒサシと相性が良い　手足が長い,西山生まれ,,,,,3,
ツヨシ,オス,1993-07-19,2003-03-10,9,1999-03-30,長崎バイオパーク,,,平平（ピンピン）,愛愛（アイアイ）,,,,,,西山生まれ,長崎県,,○,,3,
トミー,オス,1995-06-24,2014-06-19,18,1998-08-24,富山市ファミリーパーク,,,平平（ピンピン）,愛愛（アイアイ）,,,,,,西山生まれ,富山県,,○,,3,
マリモ,メス,1995-07-05,2008-02-22,12,2007-12-03,姫路市立動物園,1996-11-16,釧路市動物園,,,好好（コウコウ）,,,気が強い,大柄な体格,他園から来園,兵庫県,北海道,○,,,
チャチャ,メス,1997-06-17,2012-04-07,14,,,1999-04-02,長崎バイオパーク,,,タカシ,純純（シュンシュン）,,,多産。2000年から2008年にかけて計8頭を出産。子育て上手,他園から来園,,長崎県,,,,
コウセイ,オス,2000-06-27,2018-04-03,17,2003-12-26,横浜市立よこはま動物園,,,タカシ,チャチャ,,,,,命名は一般公募で選ばれ、当時活躍していた柔道の井上康生選手から名付けられた。,西山生まれ,神奈川県,,○,,4,
ララ,メス,2000-06-27,2015-02-15,14,,,,,タカシ,チャチャ,ヒサシ,,,好奇心旺盛,,西山生まれ,,,,,4,
チャタ,オス,2002-06-25,2014-12-18,12,,,,,タカシ,チャチャ,ミンファ,,,愛嬌がある,手足が長い　キララと相性が良い,西山生まれ,,,,,4,
